job_title,posting_date,company_name,location,seniority_level,employment_type,job_function,industries,experience,skills
Data Analyst,2023-01-05,Bright Machines,"Center District, Israel",Associate,Full-time,Information Technology,Software Development,3+,"Mathematics, Statistics, AI"
Data Analyst,2023-01-09,Public Key,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"Excel, R, English, analyze"
Data Analyst,2023-01-09,Wiliot,"Caesarea, Haifa District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",5+,"Plotly, PowerBI, Math, Python, Visualization, Tableau"
Data Analyst,2023-01-09,SQLink Group,"Tel Aviv District, Israel",Associate,Full-time,Engineering and Information Technology,"Software Development, Computer Networking Products, and Computer and Network Security",Unknown,"Analysis, reports, analysis"
Data Analyst,2023-01-08,Brainnest,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Internship,Information Technology,Business Consulting and Services,Unknown,"English, Analysis, analysis"
Data Analyst,2023-01-09,Cognyte,"Herzliya, Tel Aviv District, Israel",Associate,Full-time,Analyst,Software Development,2+,"server, algorithms, Golang, programming, Cloud, coding, docker, JAVA"
Data Scientist,2023-01-08,PayPal,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",2+,"English, analysis, R, SQL, Excel"
BI Developer,2023-01-08,PassportCard Labs,"Netanya, Center District, Israel",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,Unknown,"server, R, tableau, Python, SQL, ETL"
Data Scientist,2023-01-09,BeeHero,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,Farming,4+,"pandas, Python, programming, cloud"
Data Analyst,2023-01-10,Flare,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet, Marketing Services, and Business Consulting and Services",4+,"SAAS, PowerBI, visualization, C, AB, SQL, Tableau"
Data Analyst,2023-01-09,Papaya Global,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Accounting/Auditing and Finance,Financial Services,3+,"English, dashboards, visualization, marketing, Marketing, Dashboards, SQL, Tableau"
Data Analyst,2023-01-08,Gett,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst and Business Development,"Technology, Information and Internet",3+,"Economics, English, Industrial, Math, Statistics, visualization, Hebrew, Python, SQL, Excel, Tableau"
Data Analyst,2023-01-08,Brainnest,"West Jerusalem, Jerusalem District, Israel",Internship,Internship,Information Technology,Business Consulting and Services,Unknown,"English, Analysis, analysis"
Data Analyst,2023-01-05,Houlihan Lokey,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Finance and Sales,Investment Banking,Unknown,"English, reports, analyze, analysis, marketing, Hebrew, Excel"
Data Scientist,2023-01-10,Flare,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet, Marketing Services, and Business Consulting and Services",4+,"PowerBI, Math, Statistics, marketing, Python, Visualization, SQL, Tableau"
Data Analyst,2023-01-05,Vi,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Software Development,3+,"English, Economics, analyze, Industrial, Math, visualization, programming, Statistics, Hebrew, SQL, Excel"
Data Analyst,2023-01-07,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Finance and Sales,Software Development,3+,"English, analysis, Economics"
Data Scientist,2023-01-09,MSD Animal Health Intelligence Technology Labs,"Netanya, Center District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,3+,"statistics, Snowflake, python, programming, mathematics, SQL"
Data Analyst,2023-01-04,Mobile Group Ltd.,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Computer and Network Security,7+,"English, reports, C"
Data Scientist,2023-01-10,Fiverr,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",2+,"statistics, algorithms, ML, BigData, NoSQL, Statistics, SQL, Python, Spark, excel, AI"
Data Analyst,2023-01-09,Taboola,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",3+,"statistics, English, analyze, analysis, PowerBI, Excel, R, Python, SQL, Tableau"
BI Developer,2023-01-08,Intel Corporation,"Haifa, Haifa District, Israel",Internship,Internship,Information Technology,Semiconductor Manufacturing,Unknown,"English, Analysis, analysis, Industrial, PowerBI, Cloud, SQL, Excel, html"
Data Analyst,2023-01-08,Wiz,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer and Network Security,Unknown,"Kubernetes, reports, GCP, analysis, R, Cloud, Azure, Python, cloud, SQL, Matlab, AWS"
Data Analyst,2023-01-09,SolarEdge Technologies,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst,Renewable Energy Semiconductor Manufacturing,Unknown,"analysis, programming, R, economics, Python, SQL, Excel"
Data Analyst,2023-01-09,HoneyBook,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Finance and Sales,Software Development,5+,"English, reports, analyze, algorithms, ML, database, visualization, SQL, Tableau, Looker"
Data Analyst,2023-01-09,Masterschool,"Tel Aviv District, Israel",Mid-Senior level,Part-time,Analyst and Training,E-Learning Providers,3+,"Excel, English, Python, SQL"
Data Analyst,2023-01-09,888holdings,"Herzliya, Tel Aviv District, Israel",Entry level,Full-time,Analyst,"Technology, Information and Internet and Entertainment Providers",Unknown,"reports, PowerBI, Industrial, marketing, Server, Marketing, Oracle, C, SQL, MySQL, QA"
Data Analyst,2023-01-04,Rakuten Viber,"Gan HaDarom, Center District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",5+,"Elasticsearch, GCP, programming, Azure, Python, cloud, AWS"
Data Analyst,2023-01-09,CodeFuel,"Holon, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",Unknown,"English, analysis, DB, PowerBI, visualization, aws, SQL, Tableau"
Data Analyst,2023-01-09,PayPal,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Part-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",Unknown,"English, analysis, visualization, R, marketing, Marketing, pipeline, Excel"
Data Analyst,2023-01-10,HoneyBook,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,5+,"reports, analyze, visualization, marketing, SQL, Tableau, Looker"
Data Analyst,2023-01-09,Moon Active,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Business Development and Sales,Computer Games,5+,"Mathematics, Economics, Statistics, R, Python, SQL, ETL, Looker"
Data Analyst,2023-01-08,Plarium,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst and Marketing,Computer Games,3+,"English, Industrial, visualization, Statistics, marketing, Server, Python, BigQuery, AB, SQL, Excel, Tableau"
Data Scientist,2023-01-08,Shield.,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services,3+,"Math, DL, programming, Python, AI, NLP"
Data Analyst,2023-01-09,ICE,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"General Business, Information Technology, and Engineering",Financial Services,Unknown,"Economics, English, analyze, Analyze, SQL, Excel"
Data Analyst,2023-01-08,Taboola,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",4+,"statistics, analyze, analysis, industrial, PowerBI, R, mathematics, Python, AB, SQL, Tableau"
BI Developer,2023-01-09,BioCatch,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology and Analyst,Computer and Network Security,3+,"English, Postgres, Snowflake, Airflow, PowerBI, Python, SQL, Tableau, MySQL, Looker"
Data Analyst,2023-01-08,Apomedical (IL) Ltd,"Herzliya, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,5+,"Economics, TABLEAU, BigData, Statistics, C, Excel"
Data Analyst,2023-01-09,Perion Network,"Holon, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",Unknown,"English, analysis, DB, PowerBI, visualization, aws, SQL, Tableau"
Data Scientist,2023-01-06,Lightricks,"Jerusalem District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,3+,"ML, Computer-Vision, DL, Python, SQL, NLP, c"
Data Analyst,2023-01-08,Meganet,"Herzliya, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"Excel, English, analysis"
Data Analyst,2023-01-09,Atera,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,Unknown,Unknown
Data Analyst,2023-01-04,InspHire,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst,Software Development,4+,"PowerBI, visualization, Qlikview, Excel, Python, AB, SQL, Tableau"
Data Analyst,2023-01-05,Tipalti,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,3+,"English, dashboard, Industrial, PowerBI, Statistics, Python, SQL"
Data Analyst,2023-01-04,Tremor International Ltd.,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Finance and Sales,Advertising Services,4+,"Excel, analysis"
BI Developer,2023-01-09,Broadway Gaming,"Tel Aviv District, Israel",Associate,Full-time,Information Technology,Gambling Facilities and Casinos,3+,"Analysis, OLAP, analysis, database, PowerBI, SQL, Tableau, ETL"
Data Engineer,2023-01-05,Intuit,"Petah Tikva, Center District, Israel",Associate,Full-time,Information Technology,Software Development,Unknown,"Linux, BigData, dashboards, SQL, Java, Scala, analyze, database, pipelines, Databricks, Python, cloud, Tableau, Presto, ETL, Spark, Athena, ML, Industrial, visualization, lakehouse"
Data Analyst,2023-01-10,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Business Development and Sales,Software Development,Unknown,"English, PowerBI, Marketing, SQL, Tableau, Looker"
BI Developer,2023-01-04,Kape Technologies,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Engineering, Information Technology, and Design","Software Development, Computer and Network Security, and Computer Games",3+,"English, PowerBI, Pipeline, visualization, Python, Spark, cloud, SQL, Tableau, MySQL, ETL, AWS"
Data Analyst,2023-01-07,MAËLYS,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Information Technology, Analyst, and Marketing","IT Services and IT Consulting, Personal Care Product Manufacturing, and Retail",4+,"Analysis, visualization, Marketing, Python, SQL"
Data Analyst,2023-01-09,One BI,"Tel Aviv-Yafo, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"PowerBI, DWH, SQL"
Data Scientist,2023-01-08,Stronghire,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,6+,"Mathematics, Elasticsearch, pytorch, tensorflow, DL, Python, AWS"
Data Analyst,2023-01-10,DoorLoop,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,4+,"Mathematics, Economics, analysis, Industrial, PowerBI, Statistics, visualization, DWH, Python, AB, SQL, Tableau, ETL"
BI Developer,2023-01-08,Intelligent Business,"Center District, Israel",Full-time,Unknown,Unknown,Unknown,2+,"Economics, DAX, PowerBI, Industrial, Statistics, dashboards, Reports, Dashboards, SQL, Excel, PowerQuery"
Data Analyst,2023-01-05,Placer.ai,"Ramat Gan, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Software Development,Unknown,"English, analyze, Dashboard, C, AI, ai"
Data Analyst,2023-01-08,Mandiant (now part of Google Cloud),"Jerusalem District, Israel",Internship,Internship,Other,"Software Development, Computer Networking Products, and Computer and Network Security",Unknown,"reports, analysis"
Data Analyst,2023-01-08,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,3+,"English, PowerBI, Marketing, SQL, Tableau, Looker"
Data Analyst,2023-01-08,ActiveFence,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,4+,"analyze, AI"
Data Analyst,2023-01-09,Perion Network,"Center District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting and Technology, Information and Internet",Unknown,"English, analysis, DB, PowerBI, visualization, aws, SQL, Tableau"
Data Analyst,2023-01-04,Start.io (formerly StartApp),"Netanya, Center District, Israel",Mid-Senior level,Full-time,"Analyst, Management, and Product Management",Advertising Services and Online Audio and Video Media,4+,"Mathematics, Vertica, Pandas, English, ML, BigData, algorithms, Industrial, PowerBI, visualization, MSTR, Python, Spark, Hadoop, SQL, Excel, Tableau"
Data Analyst,2023-01-09,Pagaya,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Financial Services,Unknown,"reports, analyze, analysis, PowerBI, dashboards, numpy, AI, Python, C, SQL, Excel, pandas, Looker"
Data Engineer,2023-01-09,Mertens Hoffman - Malam Team,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"PowerBI, DWH, BigData"
BI Developer,2023-01-04,Lemonade,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet and Insurance",5+,"Snowflake, BigData, PowerBI, Python, SQL, Looker"
Data Analyst,2023-01-04,Citi,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Finance and Sales,"Banking, Financial Services, and Investment Banking",2+,"English, Hebrew"
Data Analyst,2023-01-04,Lusha,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,5+,"Economics, Excel"
Data Engineer,2023-01-09,Stealth Startup,"Herzliya, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"programming, Azure, Terraform, Java, API, Docker, Airflow, pipelines, DWH, Python, cloud, ETL, AWS, English, DB, Apache-Beam, pipeline, Kubernetes, Hebrew"
Data Analyst,2023-01-09,Exon Media,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,2+,"analyze, analysis, visualization, economics, mathematics, SQL"
Data Analyst,2023-01-09,Shabak - Israeli Security Agency - Career,"Center District, Israel",Entry level,Full-time,"Strategy/Planning, Analyst, and Other",Government Relations Services and Government Administration,Unknown,Unknown
BI Developer,2023-01-05,Amdocs,"Raanana, Center District, Israel",Mid-Senior level,Full-time,Information Technology,Telecommunications,3+,"English, API, Snowflake, Informatica, R, Cloud, DWH, Python, SQL"
Data Scientist,2023-01-04,ZipRecruiter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Unknown,"Mathematics, English, ML, Statistics, programming, DL, Python, NLP"
ML/AI Engineer,2023-01-05,HiredScore,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,Software Development,2+,"python, algorithms, ML, AI"
ML/AI Engineer,2023-01-09,Viasat Inc.,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,Defense and Space Manufacturing and Telecommunications,4+,"Mathematics, Docker, ML, Airflow, Bokeh, Statistics, DL, visualization, Seaborn, Spark, Python, C, Matplotlib, SQL"
Data Analyst,2023-01-05,Placer.ai,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,3+,"English, Mathematics, Pandas, Economics, Dashboard, NoSQL, Statistics, MongoDB, Python, C, AI, Tableau, ai"
Data Engineer,2023-01-08,רפאל מערכות לחימה מתקדמות - קריירה,"North District, Israel",Associate,Full-time,"Research, Engineering, and Science","Defense and Space Manufacturing, Computer Hardware Manufacturing, and Software Development",Unknown,"Elasticsearch, Kubernetes, Docker, Airflow, pipelines, SQL, Java, ETL, Kafka"
Data Analyst,2023-01-07,Brainnest,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Internship,Marketing and Sales,Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, database, marketing, AI"
Data Analyst,2023-01-07,Brainnest,"West Jerusalem, Jerusalem District, Israel",Internship,Internship,"Research, Analyst, and Information Technology",Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, Analyze"
Data Engineer,2023-01-09,STARTICA LTD,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"Scala, ELK, BigData, Airflow, NoSQL, Hive, Python, Spark, Hadoop, SQL, Java, Kafka, HDFS"
Data Analyst,2023-01-05,SIGA - Level Zero OT Resilience,"Urim, South District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"Excel, reports, ML, AI"
Data Analyst,2023-01-09,Orca Security,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",Unknown,"Linux, English, Analyze, CLI, APIs, cloud"
Data Analyst,2023-01-10,Fiverr,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",6+,"Statistics, excel, AB, SQL"
ML/AI Engineer,2023-01-07,ZipRecruiter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Other,"Technology, Information and Internet",Unknown,"Mathematics, English, ML, Statistics, programming, DL, Python, NLP"
Data Analyst,2023-01-09,"SodaStream International, Ltd.","Kfar Sava, Center District, Israel",Mid-Senior level,Full-time,Business Development and Sales,Manufacturing,5+,"Economics, C, analysis, Industrial"
Data Analyst,2023-01-07,Brainnest,"West Jerusalem, Jerusalem District, Israel",Internship,Internship,Marketing and Sales,Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, database, marketing, AI"
Data Engineer,2023-01-08,CloudBuzz,"Petah Tikva, Center District, Israel",Full-time,Unknown,Unknown,Unknown,5+,"Informatica, PowerBI, Industrial, pipelines, Cloud, SAP, cloud, SQL, Tableau, ETL, AWS, Looker"
ML/AI Engineer,2023-01-09,Dynamic Yield,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,Software Development,3+,"Scala, algorithms, ML, BigData, NoSQL, pipelines, Python, Spark, cloud, Redis, Java, Kafka, AWS"
Data Analyst,2023-01-05,UBS,"Herzliya, Tel Aviv District, Israel",Not Applicable,Full-time,Information Technology and Engineering,"Banking, Financial Services, and Investment Banking",Unknown,"analysis, html"
Data Engineer,2023-01-10,AllCloud,"Rosh HaAyin, Center District, Israel",Mid-Senior level,Full-time,"Engineering, Customer Service, and Information Technology","IT Services and IT Consulting, Software Development, and Computer and Network Security",5+,"Mathematics, English, ML, DB, R, Hive, Cloud, Hebrew, Spark, AI, cloud, Hadoop, SQL, C, APIs, Kafka, AWS"
Data Engineer,2023-01-05,Similarweb,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,"Advertising Services, Software Development, and Technology, Information and Internet",2+,"server, Scala, Airflow, BigData, programming, R, Python, Nodejs, coding, Spark, Hadoop, Java, HDFS"
Data Scientist,2023-01-09,Amazon,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Full-time,"Research, Science, and Engineering","IT Services and IT Consulting, Software Development, and Technology, Information and Internet",Unknown,"ML, algorithms, analysis, Statistics, programming, Python, C, Java, mining"
Data Analyst,2023-01-09,Duda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet",4+,"English, statistics, Economics, analysis, PowerBI, Industrial, Math, Statistics, AB, SQL"
Data Analyst,2023-01-07,aMoon Fund,"Raanana, Center District, Israel",Entry level,Full-time,Analyst,Venture Capital and Private Equity Principals,Unknown,"English, Hebrew, analysis"
Data Analyst,2023-01-07,Applied Materials,"Rehovot, Center District, Israel",Not Applicable,Full-time,Finance and Sales,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",8+,"English, visualization, SAP, Excel, Tableau"
Data Engineer,2023-01-09,888holdings,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Marketing,Entertainment Providers,Unknown,"English, Snowflake, Airflow, Docker, PowerBI, Pipelines, DWH, Python, cloud, SQL, Apache, ETL, AWS"
Data Analyst,2023-01-05,Gett,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Business Development","Technology, Information and Internet",5+,"Economics, English, Statistics, visualization, Hebrew, SQL, Excel, Tableau"
Data Scientist,2023-01-09,Harel Insurance & Finance,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Engineering, Information Technology, and Science","IT Services and IT Consulting, Insurance, and Financial Services",Unknown,"math, ML, visualization, PYTHON, coding, Python, SQL"
Data Analyst,2023-01-04,Join - Digital Talent Agency,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst and Marketing,"Advertising Services, Software Development, and Technology, Information and Internet",4+,"PowerBI, marketing, AB"
Data Engineer,2023-01-07,Tata Consultancy Services,Jerusalem,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,5+,"English, Database, database, R, RAC, Oracle, MongoDB, SQL, c"
Data Scientist,2023-01-08,Labrador Health,"Tel Aviv-Yafo, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"English, analysis"
Data Scientist,2023-01-09,IdentifAI Genetics,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"algorithms, analysis, programming, pipelines, Python, cloud"
Data Engineer,2023-01-09,Argus Cyber Security Ltd.,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Motor Vehicle Manufacturing and Computer and Network Security,3+,"Linux, BigData, Java, Apache, Scala, Docker, GCP, Airflow, Python, cloud, Groovy, Kafka, HDFS, AWS, server, Prometheus, Spark, JS, pipeline, Kubernetes, ML"
Data Analyst,2023-01-09,6B Studio - 6B סטודיו,"Tel Aviv District, Israel",Other,Unknown,Unknown,Unknown,Unknown,"statistics, R, mathematics, Python, SQL"
Data Analyst,2023-01-08,Lightricks,"Jerusalem District, Israel",Mid-Senior level,Full-time,Human Resources,Software Development,5+,analysis
Data Analyst,2023-01-09,Confidential,"Center District, Israel",Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting,5+,"English, SAP"
Data Analyst,2023-01-05,AppsFlyer,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst,Advertising Services,4+,"analysis, ML, PowerBI, Python, pipeline, SQL, Tableau, ETL, Looker"
Data Analyst,2023-01-09,Teva Pharmaceuticals,"Tel Aviv District, Israel",Entry level,Part-time,Accounting/Auditing and Finance,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Pharmaceutical Manufacturing",Unknown,"Economics, English, reports, SAP, Excel"
Data Analyst,2023-01-06,Just Eat Takeaway.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",5+,"PowerBI, R, programming, Python, SQL, Tableau"
Data Analyst,2023-01-08,BlackSwan Technologies,Israel,Mid-Senior level,Full-time,Business Development and Sales,Software Development,5+,"Analysis, ML, analysis, Cloud, cloud, AI, ai, ETL"
Data Engineer,2023-01-05,Tango,"Tel Aviv District, Israel",Director,Full-time,Engineering,Broadcast Media Production and Distribution and Consumer Services,5+,"Azure, SQL, Mathematics, Postgres, GCP, Airflow, Python, BigQuery, Redis, Tableau, MySQL, ETL, Kafka, AWS, NoSQL, Cloud, MongoDB, Dataflow, PowerBI, visualization, Looker"
Data Analyst,2023-01-04,ZIM Integrated Shipping Services,"Haifa, Haifa District, Israel",Entry level,Full-time,Analyst and Finance,"Transportation, Logistics, Supply Chain and Storage, Freight and Package Transportation, and Maritime Transportation",Unknown,"Economics, English, Excel, SAP"
